"location_id";"state";"district";"market"
"31a81403169474986258c486ce580758";"ORISSA";"RAYAGADA";"RAYAGADA"
"b059158b66e25d6840082f8f5e8a2690";"UNKNOWN";"UNKNOWN";"KOTTAYAM"
"cf3aa07dc3b4bafe5d2f0fa036532293";"UTTAR PRADESH";"UNNAO";"UNKNOWN"
"398969dc2acaeeca617e5a8319262c2d";"WEST BENGAL";"BIRBHUM";"BIRBHUM"
"e3673856d35ff497f10957a5a8c5bce7";"UTTAR PRADESH";"SAMBHAL";"SAMBHAL"
"0860f93f47c3ca1a06da2f2b8344ce97";"MADHYA PRADESH";"RAISEN";"UNKNOWN"
"7ae588cba706743a26f855b9af57eb1d";"UTTAR PRADESH";"JAUNPUR";"UNKNOWN"
"eea2d3e61b9862092b4d75f28ab5a38c";"MADHYA PRADESH";"REWA";"HANUMANA"
"d3f90d5c23c1e84e5ac1af985518357d";"RAJASTHAN";"HANUMANGARH";"HANUMANGARH(URLIVAS)"
"fe7d7c8d546d3bd2634dd98d5da7c3c6";"WEST BENGAL";"HOOGHLY";"SHEORAPHULY"
"595a2463314d596ad7bac423e0a9d94b";"MAHARASHTRA";"UNKNOWN";"ISLAMPUR"
"5fc590a0979519c1782af9b9fa959598";"MADHYA PRADESH";"JABALPUR";"UNKNOWN"
"aad41c4962539b6450b76cbd9f70b7f1";"UNKNOWN";"THIRUVANANTHAPURAM";"UNKNOWN"
"e1eac604f32939e2fb97e80c2653441d";"UTTAR PRADESH";"LALITPUR";"UNKNOWN"
"9746386f233dcdc07508e4063e7cec09";"WEST BENGAL";"NORTH 24 PARGANAS";"HABRA"
"37c179bdbe1173b21af41f5365f8fab5";"UNKNOWN";"NORTH 24 PARGANAS";"UNKNOWN"
"ebe89e58497ba2d16c3133cf046c5579";"HARYANA";"KURUKSHETRA";"UNKNOWN"
"0ce284c535eba0ed21c25bfb0bb4c7dd";"MADHYA PRADESH";"KHARGONE";"KARHI"
"5c5b54889768cc2e4ae16d54cfeff766";"NAN";"UNKNOWN";"KARAD"
"c692fb5225de8f458a6924c941bd79fe";"ORISSA";"KENDRAPARA";"KENDRAPARA"
"1ae0e763a0693b1f9f41d74fb9e5a12d";"PUNJAB";"UNKNOWN";"MUKTSAR"
